,Sphere Distance,Time(s),Number of Steps,Algorithm,Metric Space,Number of Vertex,Total Path Weight,Network Type
0,523.1282468285685,0.014959096908569336,26,A*,Sphere,211,150.59999999999997,drive
1,523.1282468285685,0.013963937759399414,26,A*,Euclidean,211,157.39999999999998,drive
2,523.1282468285685,0.01695537567138672,29,A*,Manhattan,211,157.39999999999998,drive
3,523.1282468285685,0.016954421997070312,27,A*,Octile,211,157.39999999999998,drive
4,523.1282468285685,0.021941423416137695,27,A*,Chebyshev,211,150.59999999999997,drive
5,523.1282468285685,0.10172605514526367,144,Dijkstra,"H(x, y)=0",149.7,drive,0
6,523.1282468285685,0.002991914749145508,17,A*,Sphere,340,151.4,bike
7,523.1282468285685,0.0029921531677246094,17,A*,Euclidean,340,151.4,bike
8,523.1282468285685,0.003988981246948242,17,A*,Manhattan,340,151.4,bike
9,523.1282468285685,0.003989696502685547,18,A*,Octile,340,157.3,bike
10,523.1282468285685,0.0029916763305664062,18,A*,Chebyshev,340,157.3,bike
11,523.1282468285685,0.05984067916870117,248,Dijkstra,"H(x, y)=0",145.50000000000003,bike,0
12,883.1827419321381,0.005993366241455078,31,A*,Sphere,538,157.8,drive
13,883.1827419321381,0.004992246627807617,30,A*,Euclidean,538,157.8,drive
14,883.1827419321381,0.005984067916870117,31,A*,Manhattan,538,157.8,drive
15,883.1827419321381,0.007035255432128906,30,A*,Octile,538,157.8,drive
16,883.1827419321381,0.005216836929321289,26,A*,Chebyshev,538,157.8,drive
17,883.1827419321381,0.5982644557952881,496,Dijkstra,"H(x, y)=0",155.2,drive,0
18,883.1827419321381,0.008929014205932617,41,A*,Sphere,657,157.9,bike
19,883.1827419321381,0.009972572326660156,41,A*,Euclidean,657,157.9,bike
20,883.1827419321381,0.009973526000976562,43,A*,Manhattan,657,157.9,bike
21,883.1827419321381,0.009968042373657227,41,A*,Octile,657,157.9,bike
22,883.1827419321381,0.007979393005371094,32,A*,Chebyshev,657,157.9,bike
23,883.1827419321381,0.42880725860595703,604,Dijkstra,"H(x, y)=0",155.29999999999998,bike,0
24,700.494268738009,0.0029909610748291016,14,A*,Sphere,408,86.19999999999999,drive
25,700.494268738009,0.0029680728912353516,14,A*,Euclidean,408,86.19999999999999,drive
26,700.494268738009,0.0030164718627929688,13,A*,Manhattan,408,86.19999999999999,drive
27,700.494268738009,0.0029959678649902344,14,A*,Octile,408,86.19999999999999,drive
28,700.494268738009,0.001995563507080078,10,A*,Chebyshev,408,100.1,drive
29,700.494268738009,0.06579780578613281,255,Dijkstra,"H(x, y)=0",84.99999999999999,drive,0
30,700.494268738009,0.0049686431884765625,20,A*,Sphere,657,151.5,bike
31,700.494268738009,0.00497746467590332,20,A*,Euclidean,657,151.5,bike
32,700.494268738009,0.0039937496185302734,19,A*,Manhattan,657,151.5,bike
33,700.494268738009,0.004986763000488281,20,A*,Octile,657,151.5,bike
34,700.494268738009,0.0039899349212646484,18,A*,Chebyshev,657,151.5,bike
35,700.494268738009,0.09973335266113281,345,Dijkstra,"H(x, y)=0",104.89999999999998,bike,0
36,690.3547617907102,0.001992940902709961,12,A*,Sphere,353,119.50000000000001,drive
37,690.3547617907102,0.0029938220977783203,12,A*,Euclidean,353,119.50000000000001,drive
38,690.3547617907102,0.0019919872283935547,12,A*,Manhattan,353,119.50000000000001,drive
39,690.3547617907102,0.0029921531677246094,13,A*,Octile,353,125.4,drive
40,690.3547617907102,0.0019943714141845703,13,A*,Chebyshev,353,125.4,drive
41,690.3547617907102,0.09176158905029297,307,Dijkstra,"H(x, y)=0",113.60000000000002,drive,0
42,690.3547617907102,0.005982875823974609,12,A*,Sphere,576,119.50000000000001,bike
43,690.3547617907102,0.00598454475402832,12,A*,Euclidean,576,119.50000000000001,bike
44,690.3547617907102,0.0059814453125,12,A*,Manhattan,576,119.50000000000001,bike
45,690.3547617907102,0.00594329833984375,13,A*,Octile,576,125.4,bike
46,690.3547617907102,0.004987001419067383,13,A*,Chebyshev,576,125.4,bike
47,690.3547617907102,0.17255139350891113,414,Dijkstra,"H(x, y)=0",113.60000000000002,bike,0
48,758.0858367646072,0.003988027572631836,19,A*,Sphere,473,96.5,drive
49,758.0858367646072,0.0029964447021484375,19,A*,Euclidean,473,96.5,drive
50,758.0858367646072,0.003947734832763672,21,A*,Manhattan,473,97.0,drive
51,758.0858367646072,0.0040285587310791016,19,A*,Octile,473,96.5,drive
52,758.0858367646072,0.003010272979736328,20,A*,Chebyshev,473,117.5,drive
53,758.0858367646072,0.08996748924255371,263,Dijkstra,"H(x, y)=0",96.5,drive,0
54,758.0858367646072,0.020943164825439453,37,A*,Sphere,638,168.80000000000004,bike
55,758.0858367646072,0.020943880081176758,42,A*,Euclidean,638,168.80000000000004,bike
56,758.0858367646072,0.019946575164794922,39,A*,Manhattan,638,168.80000000000004,bike
57,758.0858367646072,0.016954421997070312,33,A*,Octile,638,178.8,bike
58,758.0858367646072,0.01595759391784668,33,A*,Chebyshev,638,178.8,bike
59,758.0858367646072,0.4179227352142334,414,Dijkstra,"H(x, y)=0",109.2,bike,0
